,County,WeekStartDate,ProbableCases,ConfirmedCases,7-Day Count,7-Day Average,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,14-Day Count,14-Day Case Rate
758,Skamania,1/18/2021,0,7,7,1.0,4,1,1,1,0,0,0,14,114.57
759,Snohomish,1/18/2021,17,790,807,115.29,128,242,199,162,59,17,0,1597,192.29
760,Spokane,1/18/2021,51,1175,1226,175.14,222,329,298,224,105,48,0,2266,433.6
761,Stevens,1/18/2021,3,52,55,7.86,9,8,14,11,10,3,0,118,256.97
762,Thurston,1/18/2021,31,360,391,55.86,68,147,80,70,19,6,1,689,236.77
763,Wahkiakum,1/18/2021,0,2,2,0.29,0,0,1,0,1,0,0,8,190.02
764,Walla Walla,1/18/2021,5,108,113,16.14,21,32,26,17,8,9,0,228,364.33
765,Whatcom,1/18/2021,2,367,369,52.71,70,113,68,70,36,12,0,755,331.14
766,Whitman,1/18/2021,0,85,85,12.14,14,47,8,9,5,2,0,149,295.17
767,Yakima,1/18/2021,83,638,721,103.0,144,201,177,136,51,12,0,1479,572.81
