,County,WeekStartDate,ProbableCases,ConfirmedCases,7-Day Count,7-Day Average,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,14-Day Count,14-Day Case Rate
49,Grant,5/24/2021,29,48,77,11.0,14,26,23,4,9,1,0,133,132.83
50,Grays Harbor,5/24/2021,20,101,121,17.29,30,22,30,26,10,3,0,195,260.97
51,Island,5/24/2021,4,12,16,2.29,2,5,5,3,1,0,0,34,39.75
52,King,5/24/2021,66,783,849,121.29,250,236,209,104,33,15,2,1539,68.07
53,Kitsap,5/24/2021,22,94,116,16.57,32,31,29,11,9,4,0,211,77.52
54,Kittitas,5/24/2021,16,30,46,6.57,12,12,11,8,3,0,0,94,195.26
55,Klickitat,5/24/2021,2,30,32,4.57,11,1,9,5,4,2,0,47,206.41
56,Lewis,5/24/2021,41,83,124,17.71,28,33,30,18,11,4,0,226,281.62
57,Lincoln,5/24/2021,4,33,37,5.29,7,10,7,7,6,0,0,73,660.63
58,Mason,5/24/2021,1,30,31,4.43,5,10,6,7,3,0,0,56,85.3
59,Okanogan,5/24/2021,22,21,43,6.14,10,10,7,11,4,1,0,79,183.17
60,Pacific,5/24/2021,2,11,13,1.86,7,0,1,3,2,0,0,25,114.47
61,Pend Oreille,5/24/2021,2,14,16,2.29,3,1,7,4,1,0,0,23,166.06
62,Pierce,5/24/2021,97,572,669,95.57,189,194,165,92,26,3,0,1179,130.9
63,San Juan,5/24/2021,0,1,1,0.14,0,0,1,0,0,0,0,1,5.77
64,Skagit,5/24/2021,24,57,81,11.57,19,26,18,14,4,0,0,129,98.89
65,Skamania,5/24/2021,0,7,7,1.0,1,1,3,2,0,0,0,14,114.57
66,Snohomish,5/24/2021,34,341,375,53.57,83,141,88,50,7,5,1,717,86.33
67,Spokane,5/24/2021,53,538,591,84.43,165,166,114,102,29,15,0,1036,198.24
68,Stevens,5/24/2021,3,25,28,4.0,7,4,4,10,2,1,0,54,117.6
69,Thurston,5/24/2021,48,167,215,30.71,58,75,46,24,10,2,0,345,118.56
70,Wahkiakum,5/24/2021,0,7,7,1.0,0,1,4,2,0,0,0,15,356.29
71,Walla Walla,5/24/2021,14,31,45,6.43,14,12,7,9,3,0,0,98,156.6
72,Whatcom,5/24/2021,19,182,201,28.71,54,61,40,28,13,5,0,369,161.84
73,Whitman,5/24/2021,0,9,9,1.29,3,4,2,0,0,0,0,31,61.41
74,Yakima,5/24/2021,33,139,172,24.57,36,66,39,24,5,0,2,264,102.25
76,Adams,5/17/2021,7,12,19,2.71,5,4,3,5,1,1,0,36,176.04
77,Asotin,5/17/2021,1,11,12,1.71,1,4,2,3,1,1,0,21,92.76
78,Benton,5/17/2021,9,115,124,17.71,35,31,32,16,6,4,0,241,117.16
79,Chelan,5/17/2021,38,11,49,7.0,16,8,7,9,7,2,0,86,107.96
80,Clallam,5/17/2021,3,21,24,3.43,4,5,4,1,8,2,0,36,46.89
81,Clark,5/17/2021,85,388,473,67.57,100,150,123,82,15,3,0,928,185.9
82,Columbia,5/17/2021,1,5,6,0.86,0,0,1,1,2,2,0,6,143.37
83,Cowlitz,5/17/2021,35,120,155,22.14,29,55,28,34,9,0,0,274,247.96
84,Douglas,5/17/2021,5,5,10,1.43,2,3,4,1,0,0,0,27,61.71
85,Ferry,5/17/2021,5,2,7,1.0,2,1,4,0,0,0,0,14,176.99
86,Franklin,5/17/2021,8,73,81,11.57,27,15,24,11,4,0,0,148,152.96
87,Grant,5/17/2021,42,64,106,15.14,30,19,31,16,10,0,0,183,182.76
88,Grays Harbor,5/17/2021,27,132,159,22.71,51,38,21,33,12,2,2,280,374.73
89,Island,5/17/2021,9,13,22,3.14,0,7,8,6,1,0,0,38,44.43
90,Jefferson,5/17/2021,0,3,3,0.43,0,0,1,2,0,0,0,3,9.32
91,King,5/17/2021,100,1054,1154,164.86,337,316,265,172,54,9,1,2003,88.6
